,href,ids,artist
0,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,29mFfyTK9p5UIV5OW6owEj,SONIA
1,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,5pUo3fmmHT8bhCyHE52hA6,Liam Payne
2,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,7gAppWoH7pcYmphCVTXkzs,The Vamps
3,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space
4,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,5JZ7CnR6gTvEMKX4g70Amv,Lauv
5,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,5vBrKGOjN10BMwB0cJADj4,bülow
6,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,5vBrKGOjN10BMwB0cJADj4,bülow
7,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,6dn6x1XOng3LOAnfTjUn77,AJ Mitchell
8,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space
9,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,5fMUXHkw8R8eOP2RNVYEZX,Diplo
10,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,3KwmxIhSe9UTSEF37kwngR,SHAED
11,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,2qxJFvFYMEDqd7ui6kSAcq,Zedd
12,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,6nxWCVXbOlEVRexSbLsTer,Flume
13,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer
14,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space
15,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space
16,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,4xnihxcoXWK3UqryOSnbw5,Sasha Sloan
17,https://api.spotify.com/v1/me/tracks?offset=0&limit=50,3GYvf7puxwkr51EYoD9E7D,Ren
