,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",6380726,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"HIGHEST IN THE ROOM","Travis Scott",4649323,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
3,Circles,"Post Malone",4180671,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,Señorita,"Shawn Mendes",4134122,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
5,Memories,"Maroon 5",3738135,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"Someone You Loved","Lewis Capaldi",3227376,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
7,China,"Anuel AA",2806180,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
8,"Beautiful People (feat. Khalid)","Ed Sheeran",2759062,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
9,"Lights Up","Harry Styles",2715068,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
10,"10,000 Hours (with Justin Bieber)","Dan + Shay",2685482,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
11,Lalala,Y2K,2637516,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
12,"hot girl bummer",blackbear,2575222,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
13,"How Do You Sleep?","Sam Smith",2526669,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
14,"bad guy","Billie Eilish",2443587,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2294199,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
16,"Ride It",Regard,2244124,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
17,"I Don't Care (with Justin Bieber)","Ed Sheeran",2204542,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
18,"Goodbyes (Feat. Young Thug)","Post Malone",2203673,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
19,Ransom,"Lil Tecca",2120694,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
20,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1999044,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
21,"Adicto (with Anuel AA & Ozuna)",Tainy,1917901,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
22,Callaita,"Bad Bunny",1885422,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
23,Panini,"Lil Nas X",1879001,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
24,Liar,"Camila Cabello",1869007,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
25,"LA CANCIÓN","J Balvin",1860155,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
26,"No Me Conoce - Remix","Jhay Cortez",1836883,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
27,"Truth Hurts",Lizzo,1779280,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
28,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1767940,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
29,"Old Town Road - Remix","Lil Nas X",1760464,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
30,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1646346,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
31,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1597650,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
32,Tutu,Camilo,1589802,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
33,"Yo x Ti, Tu x Mi",ROSALÍA,1551672,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
34,Graveyard,Halsey,1531179,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
35,"Higher Love",Kygo,1524524,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
36,Saint-Tropez,"Post Malone",1519324,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
37,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",1486732,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
38,"It's You","Ali Gatie",1477592,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
39,"223's (feat. 9lokknine)","YNW Melly",1460258,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
40,Takeaway,"The Chainsmokers",1416931,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
41,"Good As Hell",Lizzo,1390388,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
42,"Money In The Grave (Drake ft. Rick Ross)",Drake,1387784,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
43,"Make It Right (feat. Lauv)",BTS,1385944,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
44,"Piece Of Your Heart",MEDUZA,1372989,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
45,"No Guidance (feat. Drake)","Chris Brown",1372793,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
46,"Soltera - Remix",Lunay,1366896,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
47,Fantasias,"Rauw Alejandro",1366406,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
48,"Si Te Vas",Sech,1360091,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
49,Shallow,"Lady Gaga",1330775,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
50,Quizas,"Rich Music LTD",1302936,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
51,"Hot (feat. Gunna)","Young Thug",1291242,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
